"Ano","Total","0...5.000","5.001...10.000","10.001...13.500","13.501...19.000","19.001...27.500","27.501...32.500","32.501...40.000","40.001...50.000","50.001...100.000","100.001...250.000","250.001..."
1990,1816584,847725,658045,149730,93713,47168,9504,5993,2839,1746,106,15
1991,1806822,677703,686366,201830,127145,71935,17421,12838,6635,4714,219,16
1992,1893338,642166,706061,231710,159044,90713,24330,19455,11039,8308,473,39
1993,1947290,608436,723395,252023,180094,102479,29395,24115,14727,11822,752,52
1994,1945158,586153,714647,256545,193082,107968,30097,25897,16107,13544,1058,60
1995,1969630,549255,714384,272588,210539,122038,33486,29625,18973,17116,1540,86
1996,2055575,554038,727495,289829,230527,135672,37952,33638,22861,21361,2089,113
1997,2206019,582148,759834,315187,253705,153550,43929,39151,27705,27562,3065,183
1998,2307064,567403,789609,340054,281870,170256,47724,43681,30713,31800,3718,236
1999,2395608,527004,807742,366457,314655,192610,54574,50794,35812,40139,5394,427
2000,2630873,574722,899529,387451,336864,218346,61391,57230,40818,47602,6475,445
2001,2735954,568136,919310,406134,361017,240175,66927,64943,46007,54938,7706,661
2002,2833748,570167,958298,419114,374764,254652,73979,67335,48637,58718,7705,379
2003,2948193,578025,1005433,434490,390527,268547,77558,72046,51036,62150,8028,353
2004,2955205,511694,1036596,442935,405140,279906,80403,75026,52067,62888,8152,398
2005,2989486,501718,1060164,447556,410574,288010,82187,75807,52831,62414,7840,385
2006,3124273,479165,1054804,471372,444930,323951,95563,88384,68460,84492,12330,822
2007,3186936,456319,1063087,484955,466861,344576,100520,94730,72102,89472,13438,876
2008,3216914,411578,1069287,493173,483156,364063,105510,101699,76130,96766,14671,881
2009,3270169,408860,1079635,499488,488086,376782,112266,106601,79627,102476,15469,879
2010,3309631,406127,1099595,502257,497324,382643,114985,108491,80509,102042,14839,819
2011,3347844,400307,1115389,510864,508222,393171,114393,113046,79029,99220,13452,751
2012,3700328,542632,1382997,534860,517980,364720,107645,95135,66428,77329,10020,582
2013,3610568,553610,1307374,506325,478128,371492,109106,107675,74537,90900,10895,526
2014,3625684,587886,1303546,506254,478794,367684,107302,102104,74668,86562,10394,490
2015,3459569,467977,1239634,512947,474744,377495,108725,105595,75327,86593,10052,480
2016,3422724,414731,1226235,529172,481809,384518,109857,104917,75485,85603,9902,495
